,자치구,동,스쿨존 가중치,유동인구 가중치,자동차등록 가중치,sum
11,용산구,한남동,50.00000143295343,7.295266543137158,5.916971483832938,63.21223945992353
9,용산구,청파동,37.71127743181172,14.375801384428586,6.905276054323865,58.99235487056417
1,용산구,보광동,18.968546141558555,14.57236091435687,19.999999234661637,53.54090629057706
4,용산구,용산2가동,6.87833419422678,28.954049328054605,17.417615142352,53.24999866463338
8,용산구,이태원동,0.012160164677644018,30.0,9.171918291194823,39.184078455872466
6,용산구,원효로2동,27.365536963497544,8.28541813578357,1.9600246411328146,37.610979740413924
2,용산구,서빙고동,24.532009045900423,5.495612329756315,4.255451356738905,34.283072732395645
10,용산구,한강로동,17.653773417343146,7.697028715252934,6.665449057134422,32.016251189730504
12,용산구,효창동,5.633543374498565,11.517975024697037,11.745453073239467,28.89697147243507
7,용산구,이촌동,0.03180738863446846,10.667396061269146,14.713586254752457,25.41278970465607
5,용산구,원효로1동,16.482315749058788,5.319882749052018,3.26939036757987,25.071588865690675
3,용산구,용문동,7.585052871447813,6.493931544801173,5.727987065980994,19.80697148222998
